DCM_HUB_REACH_BBI

Date/Time Generated,3/7/21 9:35 PM
Report Time Zone,America/Sao_Paulo
Account ID,563003
Date Range,1/1/21 - 3/7/21
Advertiser,Equals:Performance | Abertura de Conta PF (9599074)
Advertiser,Equals:Performance | Acordo (Renegociacao) (9595141)
Advertiser,Equals:Performance | Cartoes de Credito (9595196)
MRC Accredited Metrics,None,Active View metrics are accredited only when Measurement Source = Measured
"Reporting numbers are finalized after seven days, unless communicated otherwise."

Report Fields
Advertiser,Country,Month,Unique Reach: Impression Reach,Unique Reach: Click Reach,Unique Reach: Total Reach
Performance | Abertura de Conta PF,Afghanistan,2021-01,-,-,-
Performance | Abertura de Conta PF,Afghanistan,2021-02,-,0,-
Performance | Abertura de Conta PF,Albania,2021-01,-,0,-
Performance | Abertura de Conta PF,Albania,2021-02,-,0,-
Performance | Abertura de Conta PF,Albania,2021-03,-,0,-
Performance | Abertura de Conta PF,Algeria,2021-01,-,-,-
Performance | Abertura de Conta PF,Algeria,2021-02,-,-,-
Performance | Abertura de Conta PF,Algeria,2021-03,-,-,-
Performance | Abertura de Conta PF,Andorra,2021-01,-,-,-
Performance | Abertura de Conta PF,Andorra,2021-02,-,-,-
Performance | Abertura de Conta PF,Angola,2021-01,-,-,-
Performance | Abertura de Conta PF,Angola,2021-02,-,-,-
Performance | Abertura de Conta PF,Angola,2021-03,-,-,-
Performance | Abertura de Conta PF,Anguilla (BWI),2021-01,-,0,-
Performance | Abertura de Conta PF,Anguilla (BWI),2021-02,-,0,-
Performance | Abertura de Conta PF,Antigua & Barbuda (BWI),2021-01,-,0,-
Performance | Abertura de Conta PF,Antigua & Barbuda (BWI),2021-02,-,0,-
Performance | Abertura de Conta PF,Argentina,2021-01,14562,2645,16879
Performance | Abertura de Conta PF,Argentina,2021-02,11967,498,12301
Performance | Abertura de Conta PF,Argentina,2021-03,4342,269,4560
Performance | Abertura de Conta PF,Armenia,2021-01,-,-,-
Performance | Abertura de Conta PF,Armenia,2021-02,-,0,-
Performance | Abertura de Conta PF,Armenia,2021-03,-,-,-
Performance | Abertura de Conta PF,Aruba (Neth. Antilles),2021-01,-,0,-
Performance | Abertura de Conta PF,Aruba (Neth. Antilles),2021-02,-,0,-
Performance | Abertura de Conta PF,Aruba (Neth. Antilles),2021-03,-,0,-
Performance | Abertura de Conta PF,Australia,2021-01,-,-,-
Performance | Abertura de Conta PF,Australia,2021-02,731,-,743
Performance | Abertura de Conta PF,Australia,2021-03,231,-,234
Performance | Abertura de Conta PF,Austria,2021-01,282,-,287
Performance | Abertura de Conta PF,Austria,2021-02,-,-,-
Performance | Abertura de Conta PF,Austria,2021-03,-,-,-
