ano_mes|year|page_path|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
12|2020|/|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|21164|3552|19199|32901|24601|799360.0|24956|2021-02-21 23:33:18.052801|basic|month
12|2020|/?amp;utm_medium=coligadas&amp;utm_campaign=farol|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|1|1|1|1|0.0|1|2021-02-21 23:33:18.052801|basic|month
12|2020|/nao-encontrado|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|40|18|17|63|22|389.0|42|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1688|253|325|2546|438|83798.0|1839|2021-02-21 23:33:18.052801|basic|month
12|2020|"/poa?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=postanonovo|farol-snt|interesses|ano-novo|video|caps-haus|social-ads|m6568-16503-1&amp;amp;utm_mmm=:m6568-g16503-p16503[t550]5947:&amp;amp;utm_adid=m6568-16503-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|3|3|3|4|4|15.0|4|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa?utm_mmm=:m6568-g16501-p16501[t550]5947:&utm_adid=m6568-16501-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|30|29|28|33|31|149.0|31|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa?utm_mmm=:m6568-g16502-p16502[t550]5947:&utm_adid=m6568-16502-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|1|0|1|1|0.0|1|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa?utm_mmm=:m6568-g16503-p16503[t550]5947:&utm_adid=m6568-16503-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|22|22|21|22|22|0.0|22|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa?utm_mmm=:m6569-g16508-p16508[t550]5948:&utm_adid=m6569-16508-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|19|19|18|19|19|0.0|19|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa?utm_mmm=:m6569-g16509-p16509[t550]5948:&utm_adid=m6569-16509-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|1|0|1|1|0.0|1|2021-02-21 23:33:18.052801|basic|month
