tempo|week|week_int|year|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
20201201|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|15|16|9|18|17|154.0|17|2021-02-21 22:58:32.426159|basic|day
20201202|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|16|14|5|19|16|2447.0|16|2021-02-21 22:58:32.426159|basic|day
20201203|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|7|7|5|7|7|0.0|7|2021-02-21 22:58:32.426159|basic|day
20201204|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|17|18|12|20|19|47.0|19|2021-02-21 22:58:32.426159|basic|day
20201205|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|9|3|11|10|1234.0|10|2021-02-21 22:58:32.426159|basic|day
20201206|49|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|4|4|4|4|4|0.0|4|2021-02-21 22:58:32.426159|basic|day
20201207|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|16|15|11|20|17|2209.0|17|2021-02-21 22:58:32.426159|basic|day
20201208|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|13|14|8|14|14|0.0|14|2021-02-21 22:58:32.426159|basic|day
20201209|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|12|11|7|16|13|264.0|14|2021-02-21 22:58:32.426159|basic|day
20201210|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|20|20|16|22|21|6.0|22|2021-02-21 22:58:32.426159|basic|day
20201211|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|12|13|8|13|13|0.0|13|2021-02-21 22:58:32.426159|basic|day
20201212|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|12|12|7|12|12|0.0|12|2021-02-21 22:58:32.426159|basic|day
20201213|50|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|13|14|6|16|15|1577.0|15|2021-02-21 22:58:32.426159|basic|day
20201214|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|13|14|7|17|15|720.0|15|2021-02-21 22:58:32.426159|basic|day
20201215|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|8|7|7|9|8|647.0|8|2021-02-21 22:58:32.426159|basic|day
20201216|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|8|7|10|9|0.0|10|2021-02-21 22:58:32.426159|basic|day
20201217|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|8|9|1|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201218|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|11|10|4|12|11|1.0|11|2021-02-21 22:58:32.426159|basic|day
20201219|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|16|15|13|17|16|515.0|16|2021-02-21 22:58:32.426159|basic|day
20201220|51|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|9|6|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201221|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|9|6|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201222|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|10|11|5|11|12|0.0|11|2021-02-21 22:58:32.426159|basic|day
20201223|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|13|16|4|16|16|0.0|16|2021-02-21 22:58:32.426159|basic|day
20201224|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|9|3|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201225|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|8|7|2|9|8|96.0|8|2021-02-21 22:58:32.426159|basic|day
20201226|52|0003|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|10|7|26|11|34.0|20|2021-02-21 22:58:32.426159|basic|day
20201227|52|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|9|5|9|9|0.0|9|2021-02-21 22:58:32.426159|basic|day
20201228|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|10|13|6|13|13|0.0|13|2021-02-21 22:58:32.426159|basic|day
20201229|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|9|8|7|10|9|388.0|9|2021-02-21 22:58:32.426159|basic|day
20201230|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|13|14|9|14|14|0.0|14|2021-02-21 22:58:32.426159|basic|day
20201231|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|BRL|WEB|https://www.soliciteseucartao.com.br|126080976|Sem Filtros|5|5|5|7|6|6.0|7|2021-02-21 22:58:32.426159|basic|day
20201201|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|13|13|7|15|14|154.0|14|2021-02-21 22:58:32.426159|basic|day
20201202|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|16|14|5|19|16|2447.0|16|2021-02-21 22:58:32.426159|basic|day
20201203|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|7|7|5|7|7|0.0|7|2021-02-21 22:58:32.426159|basic|day
20201204|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|15|16|10|18|17|47.0|17|2021-02-21 22:58:32.426159|basic|day
20201205|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|8|8|3|10|9|1234.0|9|2021-02-21 22:58:32.426159|basic|day
20201206|49|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|4|4|4|4|4|0.0|4|2021-02-21 22:58:32.426159|basic|day
20201207|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|16|15|11|20|17|2209.0|17|2021-02-21 22:58:32.426159|basic|day
20201208|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|13|14|8|14|14|0.0|14|2021-02-21 22:58:32.426159|basic|day
20201209|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|11|10|6|15|12|264.0|13|2021-02-21 22:58:32.426159|basic|day
20201210|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|17|17|13|19|18|6.0|19|2021-02-21 22:58:32.426159|basic|day
20201211|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|10|11|7|11|11|0.0|11|2021-02-21 22:58:32.426159|basic|day
20201212|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|11|11|7|11|11|0.0|11|2021-02-21 22:58:32.426159|basic|day
20201213|50|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|10|11|5|11|11|0.0|11|2021-02-21 22:58:32.426159|basic|day
20201214|51|0002|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|11|12|6|15|13|720.0|13|2021-02-21 22:58:32.426159|basic|day
