data|medida|valor|recordid
2020-12-01|até 4ª série do fund.|55.25|0
2020-09-01|até 4ª série do fund.|52.2|1
2019-12-01|até 4ª série do fund.|51.43|2
2019-09-01|até 4ª série do fund.|51.53|3
2019-06-01|até 4ª série do fund.|51.53|4
2019-04-01|até 4ª série do fund.|53.0|5
2018-12-01|até 4ª série do fund.|48.5|6
2018-09-01|até 4ª série do fund.|52.0|7
2018-06-01|até 4ª série do fund.|50.3|8
2018-03-01|até 4ª série do fund.|49.6|9
2017-12-01|até 4ª série do fund.|51.6|10
2017-09-01|até 4ª série do fund.|50.0|11
2017-06-01|até 4ª série do fund.|50.1|12
2017-03-01|até 4ª série do fund.|50.4|13
2016-12-01|até 4ª série do fund.|52.0|14
2016-09-01|até 4ª série do fund.|48.5|15
2016-06-01|até 4ª série do fund.|49.8|16
2016-03-01|até 4ª série do fund.|52.8|17
2015-12-01|até 4ª série do fund.|51.4|18
2015-09-01|até 4ª série do fund.|51.0|19
2015-06-01|até 4ª série do fund.|52.7|20
2015-03-01|até 4ª série do fund.|57.6|21
2014-12-01|até 4ª série do fund.|54.8|22
2014-09-01|até 4ª série do fund.|51.9|23
2014-06-01|até 4ª série do fund.|52.6|24
2014-03-01|até 4ª série do fund.|52.9|25
2013-12-01|até 4ª série do fund.|51.9|26
2013-09-01|até 4ª série do fund.|52.5|27
2013-06-01|até 4ª série do fund.|48.8|28
2013-03-01|até 4ª série do fund.|50.1|29
2012-12-01|até 4ª série do fund.|52.7|30
2012-09-01|até 4ª série do fund.|53.3|31
2012-06-01|até 4ª série do fund.|49.9|32
2012-03-01|até 4ª série do fund.|50.3|33
2011-12-01|até 4ª série do fund.|52.3|34
2011-09-01|até 4ª série do fund.|51.9|35
2011-06-01|até 4ª série do fund.|49.9|36
2011-03-01|até 4ª série do fund.|51.4|37
2010-12-01|até 4ª série do fund.|51.8|38
2010-09-01|até 4ª série do fund.|53.7|39
2010-06-01|até 4ª série do fund.|51.7|40
2010-03-01|até 4ª série do fund.|51.3|41
2009-12-01|até 4ª série do fund.|54.9|42
2009-09-01|até 4ª série do fund.|51.4|43
2009-06-01|até 4ª série do fund.|48.0|44
2009-03-01|até 4ª série do fund.|47.6|45
2020-12-01|5ª a 8ª do fund.|55.83|46
2020-09-01|5ª a 8ª do fund.|53.6|47
2019-12-01|5ª a 8ª do fund.|53.35|48
2019-09-01|5ª a 8ª do fund.|50.8|49
2019-06-01|5ª a 8ª do fund.|50.8|50
2019-04-01|5ª a 8ª do fund.|53.9|51
2018-12-01|5ª a 8ª do fund.|50.8|52
2018-09-01|5ª a 8ª do fund.|52.4|53
2018-06-01|5ª a 8ª do fund.|54.3|54
2018-03-01|5ª a 8ª do fund.|53.5|55
2017-12-01|5ª a 8ª do fund.|52.8|56
2017-09-01|5ª a 8ª do fund.|52.6|57
2017-06-01|5ª a 8ª do fund.|52.8|58
2017-03-01|5ª a 8ª do fund.|51.9|59
2016-12-01|5ª a 8ª do fund.|51.7|60
2016-09-01|5ª a 8ª do fund.|50.6|61
2016-06-01|5ª a 8ª do fund.|52.2|62
2016-03-01|5ª a 8ª do fund.|52.6|63
2015-12-01|5ª a 8ª do fund.|58.0|64
