period|nome|value|id
Data|Empregados - admissões||231410417
Empregados - admissões|Empregados - admissões||231410417
1999.05|Empregados - admissões|732.704|231410417
1999.06|Empregados - admissões|731.238|231410417
1999.07|Empregados - admissões|685.905|231410417
1999.08|Empregados - admissões|690.144|231410417
1999.09|Empregados - admissões|698.632|231410417
1999.10|Empregados - admissões|687.788|231410417
1999.11|Empregados - admissões|686.902|231410417
1999.12|Empregados - admissões|547.526|231410417
2000.01|Empregados - admissões|757.207|231410417
2000.02|Empregados - admissões|804.926|231410417
2000.03|Empregados - admissões|799.441|231410417
2000.04|Empregados - admissões|784.055|231410417
2000.05|Empregados - admissões|923.681|231410417
2000.06|Empregados - admissões|861.260|231410417
2000.07|Empregados - admissões|839.196|231410417
2000.08|Empregados - admissões|866.852|231410417
2000.09|Empregados - admissões|815.219|231410417
2000.10|Empregados - admissões|824.921|231410417
2000.11|Empregados - admissões|760.345|231410417
2000.12|Empregados - admissões|631.029|231410417
2001.01|Empregados - admissões|909.984|231410417
2001.02|Empregados - admissões|851.610|231410417
2001.03|Empregados - admissões|923.525|231410417
2001.04|Empregados - admissões|880.234|231410417
2001.05|Empregados - admissões|1.003.027|231410417
2001.06|Empregados - admissões|889.730|231410417
2001.07|Empregados - admissões|884.230|231410417
2001.08|Empregados - admissões|890.652|231410417
2001.09|Empregados - admissões|861.183|231410417
2001.10|Empregados - admissões|852.227|231410417
2001.11|Empregados - admissões|811.245|231410417
2001.12|Empregados - admissões|593.996|231410417
2002.01|Empregados - admissões|776.512|231410417
2002.02|Empregados - admissões|746.433|231410417
2002.03|Empregados - admissões|873.579|231410417
2002.04|Empregados - admissões|945.874|231410417
2002.05|Empregados - admissões|926.931|231410417
2002.06|Empregados - admissões|775.351|231410417
2002.07|Empregados - admissões|831.579|231410417
2002.08|Empregados - admissões|862.934|231410417
2002.09|Empregados - admissões|874.062|231410417
2002.10|Empregados - admissões|853.080|231410417
2002.11|Empregados - admissões|775.085|231410417
2002.12|Empregados - admissões|570.959|231410417
2003.01|Empregados - admissões|822.277|231410417
2003.02|Empregados - admissões|841.125|231410417
2003.03|Empregados - admissões|773.659|231410417
2003.04|Empregados - admissões|869.453|231410417
2003.05|Empregados - admissões|904.068|231410417
2003.06|Empregados - admissões|824.879|231410417
2003.07|Empregados - admissões|812.383|231410417
2003.08|Empregados - admissões|839.474|231410417
2003.09|Empregados - admissões|900.082|231410417
2003.10|Empregados - admissões|851.731|231410417
2003.11|Empregados - admissões|788.649|231410417
2003.12|Empregados - admissões|581.563|231410417
2004.01|Empregados - admissões|850.198|231410417
2004.02|Empregados - admissões|872.046|231410417
2004.03|Empregados - admissões|998.092|231410417
2004.04|Empregados - admissões|961.475|231410417
2004.05|Empregados - admissões|1.031.227|231410417
2004.06|Empregados - admissões|986.494|231410417
2004.07|Empregados - admissões|982.628|231410417
2004.08|Empregados - admissões|1.048.597|231410417
2004.09|Empregados - admissões|987.731|231410417
2004.10|Empregados - admissões|921.063|231410417
2004.11|Empregados - admissões|931.126|231410417
2004.12|Empregados - admissões|725.819|231410417
2005.01|Empregados - admissões|980.620|231410417
2005.02|Empregados - admissões|971.302|231410417
2005.03|Empregados - admissões|1.082.470|231410417
2005.04|Empregados - admissões|1.110.030|231410417
2005.05|Empregados - admissões|1.101.252|231410417
2005.06|Empregados - admissões|1.089.948|231410417
2005.07|Empregados - admissões|1.004.702|231410417
2005.08|Empregados - admissões|1.071.798|231410417
2005.09|Empregados - admissões|1.058.963|231410417
2005.10|Empregados - admissões|971.726|231410417
2005.11|Empregados - admissões|967.765|231410417
2005.12|Empregados - admissões|768.425|231410417
2006.01|Empregados - admissões|1.049.445|231410417
2006.02|Empregados - admissões|1.062.980|231410417
2006.03|Empregados - admissões|1.129.637|231410417
2006.04|Empregados - admissões|1.076.102|231410417
2006.05|Empregados - admissões|1.165.777|231410417
2006.06|Empregados - admissões|1.080.412|231410417
2006.07|Empregados - admissões|1.079.746|231410417
2006.08|Empregados - admissões|1.146.722|231410417
2006.09|Empregados - admissões|1.092.661|231410417
2006.10|Empregados - admissões|1.080.392|231410417
2006.11|Empregados - admissões|1.047.987|231410417
2006.12|Empregados - admissões|819.288|231410417
2007.01|Empregados - admissões|1.144.043|231410417
2007.02|Empregados - admissões|1.137.737|231410417
2007.03|Empregados - admissões|1.255.630|231410417
2007.04|Empregados - admissões|1.272.951|231410417
2007.05|Empregados - admissões|1.293.497|231410417
2007.06|Empregados - admissões|1.197.609|231410417
2007.07|Empregados - admissões|1.190.535|231410417
2007.08|Empregados - admissões|1.253.523|231410417
2007.09|Empregados - admissões|1.224.287|231410417
2007.10|Empregados - admissões|1.280.701|231410417
2007.11|Empregados - admissões|1.182.648|231410417
2007.12|Empregados - admissões|908.128|231410417
2008.01|Empregados - admissões|1.308.922|231410417
2008.02|Empregados - admissões|1.376.908|231410417
2008.03|Empregados - admissões|1.433.140|231410417
2008.04|Empregados - admissões|1.503.158|231410417
2008.05|Empregados - admissões|1.389.589|231410417
2008.06|Empregados - admissões|1.492.051|231410417
2008.07|Empregados - admissões|1.502.808|231410417
2008.08|Empregados - admissões|1.484.006|231410417
2008.09|Empregados - admissões|1.554.571|231410417
2008.10|Empregados - admissões|1.451.205|231410417
2008.11|Empregados - admissões|1.275.674|231410417
2008.12|Empregados - admissões|887.299|231410417
2009.01|Empregados - admissões|1.216.550|231410417
2009.02|Empregados - admissões|1.233.554|231410417
2009.03|Empregados - admissões|1.419.511|231410417
2009.04|Empregados - admissões|1.350.446|231410417
2009.05|Empregados - admissões|1.348.575|231410417
2009.06|Empregados - admissões|1.356.349|231410417
2009.07|Empregados - admissões|1.398.181|231410417
