period|nome|value|id
Data|Commodities - alumínio - cotação internacional||38598
Commodities - alumínio - cotação internacional|Commodities - alumínio - cotação internacional||38598
1957|Commodities - alumínio - cotação internacional|542,3000|38598
1958|Commodities - alumínio - cotação internacional|507,5750|38598
1959|Commodities - alumínio - cotação internacional|496,7420|38598
1960|Commodities - alumínio - cotação internacional|511,5000|38598
1961|Commodities - alumínio - cotação internacional|511,5000|38598
1962|Commodities - alumínio - cotação internacional|498,0330|38598
1963|Commodities - alumínio - cotação internacional|498,7750|38598
1964|Commodities - alumínio - cotação internacional|525,9830|38598
1965|Commodities - alumínio - cotação internacional|540,1000|38598
1966|Commodities - alumínio - cotação internacional|540,1000|38598
1967|Commodities - alumínio - cotação internacional|540,1000|38598
1968|Commodities - alumínio - cotação internacional|552,9920|38598
1969|Commodities - alumínio - cotação internacional|588,4420|38598
1970|Commodities - alumínio - cotação internacional|614,1830|38598
1971|Commodities - alumínio - cotação internacional|627,9420|38598
1972|Commodities - alumínio - cotação internacional|590,0920|38598
1973|Commodities - alumínio - cotação internacional|599,1080|38598
1974|Commodities - alumínio - cotação internacional|764,8330|38598
1975|Commodities - alumínio - cotação internacional|868,4420|38598
1976|Commodities - alumínio - cotação internacional|889,9330|38598
1977|Commodities - alumínio - cotação internacional|1.143,8400|38598
1978|Commodities - alumínio - cotação internacional|1.324,9200|38598
1979|Commodities - alumínio - cotação internacional|1.602,8800|38598
1980|Commodities - alumínio - cotação internacional|1.774,9300|38598
1981|Commodities - alumínio - cotação internacional|1.262,7200|38598
1982|Commodities - alumínio - cotação internacional|991,5580|38598
1983|Commodities - alumínio - cotação internacional|1.438,4300|38598
1984|Commodities - alumínio - cotação internacional|1.251,6200|38598
1985|Commodities - alumínio - cotação internacional|1.040,7300|38598
1986|Commodities - alumínio - cotação internacional|1.149,7000|38598
1987|Commodities - alumínio - cotação internacional|1.565,1100|38598
1988|Commodities - alumínio - cotação internacional|2.546,5300|38598
1989|Commodities - alumínio - cotação internacional|1.950,7100|38598
1990|Commodities - alumínio - cotação internacional|1.639,5000|38598
1991|Commodities - alumínio - cotação internacional|1.304,0200|38598
1992|Commodities - alumínio - cotação internacional|1.256,2700|38598
1993|Commodities - alumínio - cotação internacional|1.139,9300|38598
1994|Commodities - alumínio - cotação internacional|1.475,6400|38598
1995|Commodities - alumínio - cotação internacional|1.805,0200|38598
1996|Commodities - alumínio - cotação internacional|1.506,8100|38598
1997|Commodities - alumínio - cotação internacional|1.599,2800|38598
1998|Commodities - alumínio - cotação internacional|1.357,5800|38598
1999|Commodities - alumínio - cotação internacional|1.359,9900|38598
2000|Commodities - alumínio - cotação internacional|1.551,5000|38598
2001|Commodities - alumínio - cotação internacional|1.446,7400|38598
2002|Commodities - alumínio - cotação internacional|1.351,0800|38598
2003|Commodities - alumínio - cotação internacional|1.432,8400|38598
2004|Commodities - alumínio - cotação internacional|1.718,5100|38598
2005|Commodities - alumínio - cotação internacional|1.900,5100|38598
2006|Commodities - alumínio - cotação internacional|2.573,0600|38598
2007|Commodities - alumínio - cotação internacional|2.639,8600|38598
2008|Commodities - alumínio - cotação internacional|2.577,9200|38598
2009|Commodities - alumínio - cotação internacional|1.669,1800|38598
2010|Commodities - alumínio - cotação internacional|2.173,0000|38598
2011|Commodities - alumínio - cotação internacional|2.400,6400|38598
2012|Commodities - alumínio - cotação internacional|2.022,8000|38598
2013|Commodities - alumínio - cotação internacional|1.846,6800|38598
2014|Commodities - alumínio - cotação internacional|1.867,4200|38598
2015|Commodities - alumínio - cotação internacional|1.664,6800|38598
