period|nome|value|id
Data|Preços - IGP-DI - geral - índice (ago. 1994 = 100)||33593
Preços - IGP-DI - geral - índice (ago. 1994 = 100)|Preços - IGP-DI - geral - índice (ago. 1994 = 100)||33593
1944.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,3714E-14|33593
1944.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,4927E-14|33593
1944.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,6140E-14|33593
1944.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,7353E-14|33593
1944.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,8567E-14|33593
1944.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,9780E-14|33593
1944.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,0993E-14|33593
1944.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,2206E-14|33593
1944.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,3420E-14|33593
1944.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,5846E-14|33593
1944.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,8273E-14|33593
1944.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,8273E-14|33593
1945.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,9486E-14|33593
1945.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0191E-13|33593
1945.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0070E-13|33593
1945.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0070E-13|33593
1945.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0191E-13|33593
1945.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0313E-13|33593
1945.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0434E-13|33593
1945.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0555E-13|33593
1945.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0555E-13|33593
1945.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0677E-13|33593
1945.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0798E-13|33593
1945.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0919E-13|33593
1946.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1041E-13|33593
1946.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1162E-13|33593
1946.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1283E-13|33593
1946.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1404E-13|33593
1946.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1526E-13|33593
1946.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1890E-13|33593
1946.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2132E-13|33593
1946.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2618E-13|33593
1946.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2982E-13|33593
1946.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3103E-13|33593
1946.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3224E-13|33593
1946.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3346E-13|33593
1947.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3831E-13|33593
1947.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3952E-13|33593
1947.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4074E-13|33593
1947.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3710E-13|33593
1947.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3588E-13|33593
1947.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3467E-13|33593
1947.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3224E-13|33593
1947.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3224E-13|33593
1947.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3346E-13|33593
1947.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3346E-13|33593
1947.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3467E-13|33593
1947.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3710E-13|33593
1948.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4074E-13|33593
1948.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4438E-13|33593
1948.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4680E-13|33593
1948.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4559E-13|33593
1948.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4438E-13|33593
1948.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4559E-13|33593
1948.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4438E-13|33593
1948.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4559E-13|33593
1948.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4559E-13|33593
1948.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4559E-13|33593
1948.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4680E-13|33593
1948.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4802E-13|33593
1949.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5044E-13|33593
1949.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5166E-13|33593
1949.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5166E-13|33593
1949.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5166E-13|33593
1949.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5166E-13|33593
1949.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5166E-13|33593
1949.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5287E-13|33593
1949.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5408E-13|33593
1949.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5530E-13|33593
1949.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5893E-13|33593
1949.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6621E-13|33593
1949.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6621E-13|33593
1950.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6864E-13|33593
1950.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6864E-13|33593
1950.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6500E-13|33593
1950.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6379E-13|33593
1950.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6500E-13|33593
1950.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6621E-13|33593
1950.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6985E-13|33593
1950.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,7471E-13|33593
1950.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,7956E-13|33593
1950.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,8441E-13|33593
1950.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,8441E-13|33593
1950.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,8684E-13|33593
1951.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9291E-13|33593
1951.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9533E-13|33593
1951.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0019E-13|33593
1951.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0261E-13|33593
1951.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0504E-13|33593
1951.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0261E-13|33593
1951.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9776E-13|33593
1951.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0019E-13|33593
1951.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0140E-13|33593
1951.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0504E-13|33593
1951.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0625E-13|33593
1951.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0989E-13|33593
1952.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,1717E-13|33593
1952.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2081E-13|33593
1952.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2081E-13|33593
1952.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2081E-13|33593
1952.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2202E-13|33593
1952.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2324E-13|33593
1952.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2688E-13|33593
1952.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2809E-13|33593
1952.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2688E-13|33593
1952.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2809E-13|33593
1952.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,3416E-13|33593
1952.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,3658E-13|33593
1953.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,3901E-13|33593
1953.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,4144E-13|33593
1953.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,4750E-13|33593
1953.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,4750E-13|33593
1953.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,4629E-13|33593
1953.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,4993E-13|33593
1953.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,5478E-13|33593
1953.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,6449E-13|33593
1953.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,6813E-13|33593
1953.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,7541E-13|33593
1953.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,7905E-13|33593
1953.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,8511E-13|33593
1954.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,9348E-13|33593
1954.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,0074E-13|33593
1954.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,0655E-13|33593
1954.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,1818E-13|33593
1954.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,2399E-13|33593
1954.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,2835E-13|33593
1954.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,3270E-13|33593
1954.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,3561E-13|33593
1954.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,4433E-13|33593
1954.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,4578E-13|33593
1954.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,5304E-13|33593
1954.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,5886E-13|33593
1955.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,6467E-13|33593
1955.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,6467E-13|33593
1955.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,6757E-13|33593
1955.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,7484E-13|33593
1955.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,7484E-13|33593
1955.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,7484E-13|33593
1955.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,7920E-13|33593
1955.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,8646E-13|33593
1955.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,9518E-13|33593
1955.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,9954E-13|33593
1955.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,0099E-13|33593
1955.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,0244E-13|33593
1956.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,0971E-13|33593
1956.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,2133E-13|33593
1956.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,2714E-13|33593
1956.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,2859E-13|33593
1956.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,4167E-13|33593
1956.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,5474E-13|33593
1956.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,6201E-13|33593
1956.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,7073E-13|33593
1956.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,8671E-13|33593
1956.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,9397E-13|33593
1956.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,9978E-13|33593
1956.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,0124E-13|33593
1957.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
1957.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,2303E-13|33593
