period|nome|value|id
Data|Massa de rend. de todos os trabalhos hab. mensal||1347352672
Massa de rend. de todos os trabalhos hab. mensal|Massa de rend. de todos os trabalhos hab. mensal||1347352672
2012.03|Massa de rend. de todos os trabalhos hab. mensal|121.454|1347352672
2012.04|Massa de rend. de todos os trabalhos hab. mensal|123.398|1347352672
2012.05|Massa de rend. de todos os trabalhos hab. mensal|123.825|1347352672
2012.06|Massa de rend. de todos os trabalhos hab. mensal|124.725|1347352672
2012.07|Massa de rend. de todos os trabalhos hab. mensal|125.792|1347352672
2012.08|Massa de rend. de todos os trabalhos hab. mensal|126.913|1347352672
2012.09|Massa de rend. de todos os trabalhos hab. mensal|127.746|1347352672
2012.10|Massa de rend. de todos os trabalhos hab. mensal|128.548|1347352672
2012.11|Massa de rend. de todos os trabalhos hab. mensal|129.462|1347352672
2012.12|Massa de rend. de todos os trabalhos hab. mensal|130.105|1347352672
2013.01|Massa de rend. de todos os trabalhos hab. mensal|131.077|1347352672
2013.02|Massa de rend. de todos os trabalhos hab. mensal|132.424|1347352672
2013.03|Massa de rend. de todos os trabalhos hab. mensal|133.789|1347352672
2013.04|Massa de rend. de todos os trabalhos hab. mensal|135.525|1347352672
2013.05|Massa de rend. de todos os trabalhos hab. mensal|136.897|1347352672
2013.06|Massa de rend. de todos os trabalhos hab. mensal|138.981|1347352672
2013.07|Massa de rend. de todos os trabalhos hab. mensal|140.689|1347352672
2013.08|Massa de rend. de todos os trabalhos hab. mensal|142.142|1347352672
2013.09|Massa de rend. de todos os trabalhos hab. mensal|142.809|1347352672
2013.10|Massa de rend. de todos os trabalhos hab. mensal|143.990|1347352672
2013.11|Massa de rend. de todos os trabalhos hab. mensal|144.744|1347352672
2013.12|Massa de rend. de todos os trabalhos hab. mensal|144.838|1347352672
2014.01|Massa de rend. de todos os trabalhos hab. mensal|145.194|1347352672
2014.02|Massa de rend. de todos os trabalhos hab. mensal|147.520|1347352672
2014.03|Massa de rend. de todos os trabalhos hab. mensal|149.972|1347352672
2014.04|Massa de rend. de todos os trabalhos hab. mensal|151.609|1347352672
2014.05|Massa de rend. de todos os trabalhos hab. mensal|152.993|1347352672
